"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_TypeDescription","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_prct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoGEast_mm","Dry_CoGNorth_mm","Dry_CoGElevation_mm","Price_Source","CostProj_currency","Cost_Date","Exch_rate","NOK","Pressure_1Barg","Pressure_2Barg","Temp_1degC","Temp_2degC","Flow_rate_1m3_or_hr","Flow_rate_2m3_or_hr","Capacity_m3","Heat_transfer_medium_type","SpeedRPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Aream2","Material_1","Material_2","Reference_or_Source","Referencedoc_dwg_PID_etc","RiskWeight_accuracy","RiskFootprint_accuracy","RiskDesign_basis","Risk_comments","Remarks","Iso_159264_Physical_RDL_","Iso_159264_Physical_Description_","Iso_159264_Activity_RDL_","Iso_159264_Activity_Description_","Posccesar_RDL_"
,,"R","ERCQ","A-24CQ001","NO","A-24XX001","ER010","24",,"1st Stage Flash Gas Ejector","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Ejector",,,,,
,,"R","ERCQ","A-24CQ002","NO","A-24XX001","ER010","24",,"2nd Stage Flash Gas Ejector","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Ejector",,,,,
,,"R","ERCQ","A-24CQ003","NO","A-24XX001","ER010","24",,"3rd Stage Flash Gas Ejector","Process deck","AP400","SKID TEG",,,,,,,"PERM","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Ejector",,,,,
,,"E","EEER","A-24ER001A",,,"ER018","24",,"VSD G2P TEG Circulation Pump A","Mezzanine deck","AQ300","LV swb. room 1","600","800","2200","0.48",,,"PERM","0.15","300","345",,"325393","380793","509302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-24ER001B",,,"ER018","24",,"VSD G2P TEG Circulation Pump B","Mezzanine deck","AQ300","LV swb. room 1","600","800","2200","0.48",,,"PERM","0.15","300","345",,"325395","386621","509302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-24ER002A",,,"ER010","24",,"Thyristor Panel - TEG Reboiler Heater A","Mezzanine deck","AQ300","LV swb. room 2","2600","500","2100","1.3",,,"PERM","0.15","750","862.5",,"323480","399743","509301",,,,,,,,,,,,,,,,,,,,,,,,,,,"Width = depth of panel . Based on Dvalin type for 520kW heater",,,,,
,,"E","EEER","A-24ER002B",,,"ER010","24",,"Thyristor Panel - TEG Reboiler Heater B","Mezzanine deck","AQ300","LV swb. room 2","2600","500","2100","1.3",,,"PERM","0.15","750","862.5",,"324290","399743","509301",,,,,,,,,,,,,,,,,,,,,,,,,,,"Width = depth of panel . Based on Dvalin type for 520kW heater",,,,,
,,"E","ERFE","A-24FE001 A","NO","A-24XX001","ER010","24",,"TEG Reboiler Heater","Process deck","AP400","SKID TEG",,,,"0",,,"PERM",,,,"0","0","0","0",,,,,,,,,,,,,,,"465",,,,"22Cr Duplex","Incoloy",,,,,,,"Length is insertion lenght.  Duty is design duty. ",,,,,
,,"E","ERFE","A-24FE001 B","NO","A-24XX001","ER010","24",,"TEG Reboiler Heater","Process deck","AP400","SKID TEG",,,,"0",,,"PERM",,,,"0","0","0","0",,,,,,,,,,,,,,,"465",,,,"22Cr Duplex","Incoloy",,,,,,,"Length is insertion lenght.  Duty is design duty. ",,,,,
,,"E","ERFE","A-24FE002","NO","A-24XX001","ER010","24",,"TEG Surge Drum Start Up Heater","Process deck","AP400","SKID TEG",,,,"0",,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex","Incoloy",,,,,,,,,,,,
