"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_Type_Description","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_pct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoG_East_mm","Dry_CoG_North_mm","Dry_CoG_Elevation_mm","Price_Source","Cost_Proj_currency","Cost_Date","Exch_rate","NOK","Pressure_1_barg","Pressure_2_barg","Temp_1_degC","Temp_2_degC","Flow_rate_1_m3_per_hr","Flow_rate_2_m3_per_hr","Capacity_m3","Heat_transfer_medium_type","Speed_RPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Area_m2","Material_1","Material_2","Reference_or_Source","Reference_doc_dwg_PID_etc","Risk_Weight_accuracy","Risk_Footprint_accuracy","Risk_Design_basis","Risk_comments","Remarks","CLASS_OF_ACTIVITY","CLASS_OF_FUNCTIONAL_OBJECT","CLASS_OF_INANIMATE_PHYSICAL_OBJECT"
"DIFF",,"R","ERPZ","A-20PZ001B","YES",,"ER007",20.0,,"Liquid Export Pump B Skid","Cellar deck","AP200","AP200",8500.0,2400.0,2400.0,20.4,,,"PERM",0.15,26500.0,30474.999999999996,,304000.0,393000.0,501370.0,,,,,,,,,,,,,,,,,,,"25Cr Duplex",,,,,,,"Gas carry under percentage to be finalized in process design  Noise enclosure details to be finlized","Sulzer including lube oil system.  including estimate for noise enclosure(5000kg)","http://data.posccaesar.org/rdl/RDS9657917","http://data.posccaesar.org/rdl/RDS278594","http://data.posccaesar.org/rdl/RDS14196773"
"DIFF",,"R","ERVA","A-20VA001",,,"ER002",20.0,,"Inlet Separator","Mezzanine deck","AP300","AP300,AP400",0.0,3500.0,6600.0,12.25,,,"PERM",0.15,106600.0,122589.99999999999,80000.0,301200.0,387000.0,510447.5,,,,,,"FV",100.0,-46.0,125.0,,,80.0,,,,,,,"P500QL2 + Alloy 625 w.o.","internals 22Cr Duplex",,,,,,"Slug volume uncertainty (flow assurance)  Gas carry under uncertainty","SLB proposal (rev 3) , vertical 2 phase separator with hemispherical heads . (weight of internals:9000kg)","http://data.posccaesar.org/rdl/RDS9647297","http://data.posccaesar.org/rdl/RDS2194378711","http://data.posccaesar.org/rdl/RDS291959"
,,"R","ERCB","A-24CB001A","NO","A-24XX001","ER010",24.0,,"TEG Particle Filter","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,150.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Vessel with 5 microns filter elements",,,
,,"R","ERCB","A-24CB001B","NO","A-24XX001","ER010",24.0,,"TEG Particle Filter","Process deck","AP400","SKID TEG",,,,,,,"PERM",0.15,0.0,0.0,150.0,,,,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"added based on Fucntional requirements documet",,,
,,"R","ERCB","A-24CB002","NO","A-24XX001","ER010",24.0,,"Activated Carbon Filter","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
"DIFF",,"R","ERCJ","A-24CJ001",,,"ER006",24.0,,"G2P Mixer 1","Process deck","AP400","AP400",1400.0,700.0,700.0,0.98,,,"PERM",0.15,595.0,684.25,,314126.0,383249.0,516563.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,"Single source due to Equinor Qualification","Weight / size  based on Prosep  propsal for Askja UPP",,,"http://data.posccaesar.org/rdl/RDS43167562195"
"DIFF",,"R","ERCJ","A-24CJ002",,,"ER006",24.0,,"G2P Mixer 2","Process deck","AP400","AP400",1400.0,700.0,700.0,0.98,,,"PERM",0.15,595.0,684.25,,314263.0,384362.0,516563.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,"Single source due to Equinor Qualification","Weight / size  based on Prosep  propsal for Askja UPP",,,"http://data.posccaesar.org/rdl/RDS43167562195"
,,"R","ERCQ","A-24CQ001","NO","A-24XX001","ER010",24.0,,"1st Stage Flash Gas Ejector","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Ejector",,,
,,"R","ERCQ","A-24CQ002","NO","A-24XX001","ER010",24.0,,"2nd Stage Flash Gas Ejector","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Ejector",,,
,,"R","ERCQ","A-24CQ003","NO","A-24XX001","ER010",24.0,,"3rd Stage Flash Gas Ejector","Process deck","AP400","SKID TEG",,,,,,,"PERM",0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Ejector",,,
,,"E","EEER","A-24ER001A",,,"ER018",24.0,,"VSD G2P TEG Circulation Pump A","Mezzanine deck","AQ300","LV swb. room 1",600.0,800.0,2200.0,0.48,,,"PERM",0.15,300.0,345.0,,325393.0,380793.0,509302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-24ER001B",,,"ER018",24.0,,"VSD G2P TEG Circulation Pump B","Mezzanine deck","AQ300","LV swb. room 1",600.0,800.0,2200.0,0.48,,,"PERM",0.15,300.0,345.0,,325395.0,386621.0,509302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-24ER002A",,,"ER010",24.0,,"Thyristor Panel - TEG Reboiler Heater A","Mezzanine deck","AQ300","LV swb. room 2",2600.0,500.0,2100.0,1.3,,,"PERM",0.15,750.0,862.4999999999999,,323480.0,399743.0,509301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Width = depth of panel . Based on Dvalin type for 520kW heater",,,
,,"E","EEER","A-24ER002B",,,"ER010",24.0,,"Thyristor Panel - TEG Reboiler Heater B","Mezzanine deck","AQ300","LV swb. room 2",2600.0,500.0,2100.0,1.3,,,"PERM",0.15,750.0,862.4999999999999,,324290.0,399743.0,509301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Width = depth of panel . Based on Dvalin type for 520kW heater",,,
,,"E","ERFE","A-24FE001 A","NO","A-24XX001","ER010",24.0,,"TEG Reboiler Heater","Process deck","AP400","SKID TEG",,,,0.0,,,"PERM",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,465.0,,,,"22Cr Duplex","Incoloy",,,,,,,"Length is insertion lenght.  Duty is design duty.",,,
,,"E","ERFE","A-24FE001 B","NO","A-24XX001","ER010",24.0,,"TEG Reboiler Heater","Process deck","AP400","SKID TEG",,,,0.0,,,"PERM",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,465.0,,,,"22Cr Duplex","Incoloy",,,,,,,"Length is insertion lenght.  Duty is design duty.",,,
,,"E","ERFE","A-24FE002","NO","A-24XX001","ER010",24.0,,"TEG Surge Drum Start Up Heater","Process deck","AP400","SKID TEG",,,,0.0,,,"PERM",,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex","Incoloy",,,,,,,,,,
"DIFF",,"R","ERHA","A-24HA001",,,"ER004",24.0,,"Gas Treatment Inlet Cooler","Weather deck","AP500","AP500",17400.0,1520.0,2350.0,26.448,,,"PERM",0.15,24300.0,27944.999999999996,12250.0,299579.0,384249.0,524000.0,,,,,,88.54,88.36,71.4,20.0,6450.0,697.0,,"SW",,19416.0,,,1026.4,"Titan shell & tubes","25%Cr Duplex Heads",,,,,,"risk of changing weight due to impact of design for unmanned  (type of TEMA heat exchanger)","HTRI - BEM Titanium Shell & Tubes / Duplex Heads. Tube design pressure 157 barg SW In Tempt.= 11 °C SW Out Tempt.= 35 °C",,,"http://data.posccaesar.org/rdl/RDS419084"
,,"R","ERHB","A-24HB001","NO","A-24XX001","ER010",24.0,,"Lean / Rich TEG Heat Exchanger 1 (Bloc)","Process deck","AP400","SKID TEG",,,,0.0,,,"PERM",,,,3260.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"CS frame","SS316 inlernally",,,,,,,"Bloc Type Heat Exchanger",,,
